俳名,出身地,現住所,本名/別名,職業,職業_詳細,門下/派閥,没年(年齢),備考,雑誌登場回数,ちとりつか_寛政2年(1790),松のしるし_寛政4年(1792),冬のひかり_寛政5年(1793),笠塚百回忌_寛政5年(1793),鷹の石ふみ_寛政5年(1793),旅の日数_寛政5年(1793),麻刈集_寛政5年(1793),落梅花_寛政5年(1793),みちのかけ_寛政5年(1793),花つか集_寛政5年(1793),この供養_寛政5年(1793),松葉塚_寛政5年(1793),五東斎木朶_寛政6年(1794),たまかつら_寛政7年(1795),昔合集_寛政8年(1796),勧進帖_寛政8年(1796),橋日記_寛政10年(1798),志ら梅_寛政10年(1798),寛政守武祠句集_寛政11年(1799),東境連句会_寛政11年(1799),花鳥楽事_寛政11年(1799),あがたの三月よつき_寛政12年(1800),萩の露_寛政12年(1800),歳旦_寛政12年(1800)？,春興_寛政12年(1800),木朶交友録_寛政頃？,馬江連春興_享和2年(1801),元除春遊_享和2年(1802),時雨会_享和3年(1803),青むしろ_文化元年(1804),秋風紀行_文化元年(1804),雪月文事_文化元年(1804),東境連句会_文化元年(1804),東境連句会_文化2年(1805),雛さうし_文化3年(1806),無量佛_文化4年(1807),東境連句会_文化4年(1807),はつそら_文化4年(1807),梅花帖_文化5年(1808),霜のかね_文化5年(1808),蘿蔓集_文化5年(1808),蓑虫集_文化5年(1808),楫枕_文化6年(1809),あさひらき_文化6年(1809),趙鳧龍城下歳旦_文化7年(1810),白蓮華_文化7年(1810),蓼廻穂_文化7年(1810),小菊原_文化7年(1810),藁つと_文化7年(1810),歳晩集_文化8年(1811),きねうた_文化8年(1811),侘草紙_文化9年(1812),としのやと_文化9年(1812),煎豆集_文化9年(1812),ひしのはな_文化9年(1812),鶯囀梅_文化10年(1813),桃桜_文化10年(1813),しまめぐり_文化10年(1813),花おし_文化10年(1813),酔月集_文化10年(1813),文音録_文化11年(1814),秋の調_文化11年(1814),すしかひ_文化11年(1814),いたびさし_文化11年(1814),銀河_文化11年(1814),むしの声_文化11年(1814),花御師_文化12年(1815),竜の登_文化13年(1816),俳諧西歌仙_文化13年(1816),はいかい壱軸_文化13年(1816),奉納八橋山俳諧一軸_文化13年(1816),四海句双紙_文化14年(1817),諸国人名録(B)_文政初期,たかむしろ_文政元年(1818),あとのともし_文政元年(1818),雁の空_文政元年(1818),むかしいま_文政2年(1819),はつね集_文政2年(1819),月次五題_文政4年(1821),伊農太傳_文政4年(1821),見なれし_文政4年(1821),草の名集_文政5年(1822),枇杷の実_文政7年(1824),安居鐘_文政7年(1824),五百機集_文政8年(1825),蘆の一もと_文政10年(1827),十かへり_文政10年(1827),その葉さへ_文政10年(1827),花済集_文政10年(1827),燕岡集_文政10年(1827),楽しみ草_文政12年(1829),蝉茸集_文政12年(1829),狂俳冠句壱編_文政12年(1829),湯のかたみ_文政13年(1830),和漢俳諧集_文政13年(1830),ことはくつ_文化文政年間,はつ夢_文化文政年間,鶴のかしら_文政年間,諸国人名録(A)_天保年間,ひとつ鷺_天保9年(1838),蓬宇人名録_天保10年(1839),大鶴庵卯選集_年代不明,唯うつむいて_年代不明,椎芝集_年代不明
虎渓,岡崎,岡崎市康生町,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
古角,岡崎,岡崎市康生町,,,,,,,3,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,
梅ニ,岡崎,岡崎市康生町,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
梅五,岡崎,岡崎市康生町,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
玉洗,岡崎,岡崎市康生町,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
荊鳥,岡崎,岡崎市康生町,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野風,岡崎,岡崎市康生町,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金河,岡崎,岡崎市康生町,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
清月,岡崎,岡崎市康生町,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
礼貴,鉢池,岡崎市鉢池町,,,,,,,1,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冬月,奥殿,岡崎市奥殿町,木村順道,,,卓池,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,
梅坂,中村,岡崎市中村町,中根甚助,,,卓池,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,
枳風,日名,岡崎市日名中町,嶺沢佐右衛門,,,卓池,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,
岱呂,矢作橋付近,岡崎市矢作町,,,,卓池,文化10年,卓池友人、無量寿寺境内に句碑あり,18,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,〇,〇,,,,,,〇,,,〇,,,,〇,,,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,,,,,,,,,,,,〇,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,
橋丸,矢作,岡崎市矢作町,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
楚山,矢作,岡崎市矢作町,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一馬,宇頭,岡崎市宇頭町,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,〇,〇,,,,〇,〇,〇,〇,,,,,,,,,,,,
如流,宇頭,岡崎市宇頭町,"井上吉右衛門,江戸屋",,,卓池,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,〇,,,,,,,,,,,〇,,,,,,〇,〇,〇,,,,,,,〇,,,,,
酔玉,宇頭,岡崎市宇頭町,鈴木与左衛門,,,卓池,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,
柳歌,宇頭,岡崎市宇頭町,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山人,宇頭,岡崎市宇頭町,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
露玉,宇頭,岡崎市宇頭町,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
藻雪,龍泉寺,岡崎市竜泉寺町,寉田弥惣右衛門,僧,僧,卓池,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,
杉女,土呂,岡崎市福岡町,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,
招亭,土呂,岡崎市福岡町,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,
携丘(呑水),土呂,岡崎市福岡町,岩瀬敬介,医師,医師,卓池,嘉永3年(47歳),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,
如昇,土呂,岡崎市福岡町,加藤忠兵衛,,,卓池,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,
禾月,土呂,岡崎市福岡町,大須賀十蔵,,,卓池,,油屋惣兵衛内,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,
奇峯(碓月),土呂,岡崎市福岡町,板倉勝次郎,,,卓池,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,
杏雨,土呂,岡崎市福岡町,馬嶌俊山,,,卓池,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,
紫水,土呂,岡崎市福岡町,川角治郎十,,,卓池,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,
市井(水清),土呂,岡崎市福岡町,勝治,油屋,油屋,卓池,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,
常鷹,宮崎,岡崎市宮崎町,伝正院,僧,僧,卓池,文政以前,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文青,宮崎,岡崎市宮崎町,河野玄秀,,,卓池,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,〇,,〇,,,,,,,,,,,,
琴松,宮崎,岡崎市宮崎町,真木嘉平,,,卓池,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,〇,,〇,,,,,,,,,,,,
一栖,宮崎,岡崎市宮崎町,梅村武介,,,卓池,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,
机眠,宮崎,岡崎市宮崎町,梅村伝兵衛,,,卓池,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,〇,,〇,,,,,,,〇,,,,,
陽坂,宮崎,岡崎市宮崎町,梅村角兵衛,,,卓池,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,〇,,〇,,,,,,,〇,,,,,
一秀,城内,岡崎市康生町,宇津川三右衛門,藩士,岡崎藩士,卓池,,岡崎藩分限帳に記載あり,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,
雅一,城内,岡崎市康生町,長尾応次朗,藩士,岡崎藩士,卓池,,岡崎藩分限帳に記載あり,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桃牛,城内,岡崎市康生町,塩田多蔵,藩士,岡崎藩士,卓池,,岡崎藩分限帳に記載あり,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
何句,城内,岡崎市康生町,森田清五郎,藩士,岡崎藩士,卓池,,岡崎藩分限帳に記載あり,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,
虎明,城内,岡崎市康生町,浅見虎蔵,藩士,岡崎藩士,卓池,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,
臥龍,城内,岡崎市康生町,"高島与大夫,親行",藩士,岡崎藩士,卓池,,岡崎藩分限帳に記載あり,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可禾(雨山),城内,岡崎市康生町,"藤戸吉弥,顕政",藩士,岡崎藩士,卓池,,岡崎藩分限帳に記載あり,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北竜,城内,岡崎市康生町,"猶村給也,正豊",藩士,岡崎藩士,卓池,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巣李,田町,岡崎市田町,松岡幸吉,,,卓池,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,〇,〇,,,,,,,,,,〇,〇,,,,〇,〇,,〇,,,,,,,,,,,,
杞水,新堀村,岡崎市新堀町,大岡幸八,,,卓池,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
畝曲,新堀村,岡崎市新堀町,"深見重兵衛,青見堂",,,卓池,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,
玉水,新堀村,岡崎市新堀町,深見京次郎,,,卓池,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,
安麿,新堀村,岡崎市新堀町,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一向,新堀村,岡崎市新堀町,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流芝,隨念寺門前,岡崎市門前町,大和屋源右衛門(鈴木氏),,,卓池,嘉永元年,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,〇,,,,,,,,,〇,〇,〇,,,,〇,〇,〇,〇,,,,,,,,,〇,,〇,
淵月,十王町,岡崎市十王町,,僧,西照寺住職,卓池,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東石,十王町,岡崎市十王町,平松伝五郎,穀屋,穀屋,卓池,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,
疎明,伝馬町,岡崎市伝馬通,菱屋治左衛門,,,木朶,,,2,,,,,,〇,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一応,伝馬町,岡崎市伝馬通,彦六,宿屋,旅籠屋,卓池,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,〇,〇,,,,,〇,〇,〇,,,,,,,,,,,,
六蝉(青栗),伝馬町,岡崎市伝馬通,香川小兵衛,花屋,花屋,卓池,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,
朱芳,伝馬町,岡崎市伝馬町,,,,卓池,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,〇,〇,〇,,,,〇,〇,〇,〇,,,,〇,,,,,,,,
仙車,伝馬町,岡崎市伝馬通,高木氏,,,卓池,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二青,伝馬町,岡崎市伝馬通,杉山半三郎,宿屋,旅籠屋,卓池,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹿留,伝馬町,岡崎市伝馬通,駒屋源次郎,,,木朶,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
波文,籠田町,岡崎市籠田町,"山本嘉蔵,麦雲舎",庄屋,籠田町庄屋,卓池,明治4年(70歳),,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,〇,〇,〇,〇,,,,,,,,,〇,,,
惟一,連尺町,岡崎市連尺通,千賀伝右衛門,呉服商,呉服商大島屋,卓池,明治23年(78歳),茶人(不蔵庵)としても有名,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,
其一,明大寺町,岡崎市明大寺町,林甚左衛門,紺屋,紺屋,卓池,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,〇,,,,,,,〇,,,,,
鼠袋,能見町,岡崎市能見町,杉山氏,蝋燭屋,蝋燭屋,卓池,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
旭甫,能見町,岡崎市能見町,浜川屋義三郎,,,卓池,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
方湖,能見,岡崎市能見町,岩堀屋弥十,,,卓池,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,
ニ青,能見横町,岡崎市能見町,浜川屋辻吉,,,卓池,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
香花,北野,岡崎市北野町,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其雄,舞木,岡崎市舞木町,"竹尾東一郎,月弓亭",,,木朶,,,4,,,,,,,,,,,,〇,,〇,,,,〇,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
敬山,舞木,岡崎市舞木町,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重松,舞木,岡崎市舞木町,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
風栗,両町,岡崎市両町,永見和三郎,,,卓池,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,
素月(女),藤川,岡崎市藤川町,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,
思九,藤川,岡崎市藤川町,,,,,,,1,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
時交,吉田,豊橋市今橋町,,,,木朶,,,2,,,,,,,,,〇,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
曲浦,吉田,豊橋市今橋町,前川氏,,,木朶,寛政5年,木朶の友人(年上)、吉田連,1,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巴牛,吉田,豊橋市今橋町,,,,木朶,寛政5年以前,,1,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疎林,吉田,豊橋市今橋町,,,,木朶,寛政5年以前,,1,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
素迷,吉田,豊橋市今橋町,,,,木朶,,,1,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
再立,吉田,豊橋市今橋町,,,,木朶,,,1,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
舞杜,吉田,豊橋市今橋町,,,,木朶,,,1,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成也,吉田,豊橋市今橋町,,,,卓池,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,〇,,〇,,,,,,,,,,,,
